,model_var,model_cross,JS-native,JS-nonnative,acc-native,acc-nonnative,arch,rep,lang,domain
0,formant_knn_2_wvENNonnativeResponses10Fold,0,0.60995818024803,0.5785604609860755,0.0875,0.14634146341463414,knn,formant,EN,non-nat
1,formant_knn_2_wvENNonnativeResponses10Fold,1,0.5987274925205657,0.5201727596071443,0.1,0.18292682926829268,knn,formant,EN,non-nat
2,formant_knn_2_wvENNonnativeResponses10Fold,2,0.6094673091390257,0.5990338131203043,0.0875,0.09876543209876543,knn,formant,EN,non-nat
3,formant_knn_2_wvENNonnativeResponses10Fold,3,0.5985670605097994,0.569204770112741,0.09375,0.1111111111111111,knn,formant,EN,non-nat
4,formant_knn_2_wvENNonnativeResponses10Fold,4,0.6059880362983362,0.5646199163779021,0.0875,0.15853658536585366,knn,formant,EN,non-nat
5,formant_knn_2_wvENNonnativeResponses10Fold,5,0.6032044620878944,0.5882196905130386,0.0875,0.09876543209876543,knn,formant,EN,non-nat
6,formant_knn_2_wvENNonnativeResponses10Fold,6,0.606080296857713,0.5788515000350811,0.0875,0.13580246913580246,knn,formant,EN,non-nat
7,formant_knn_2_wvENNonnativeResponses10Fold,7,0.6098694295351554,0.5743117339728289,0.0875,0.13414634146341464,knn,formant,EN,non-nat
8,formant_knn_2_wvENNonnativeResponses10Fold,8,0.5991003162519762,0.5463105275742487,0.0875,0.10975609756097561,knn,formant,EN,non-nat
9,formant_knn_2_wvENNonnativeResponses10Fold,9,0.6070529350817856,0.6143839042503295,0.0875,0.10843373493975904,knn,formant,EN,non-nat
10,formant_knn_2_wvENResponses10Fold,0,0.5885711764182706,0.5478398441773281,0.125,0.05997552019583843,knn,formant,EN,nat
11,formant_knn_2_wvENResponses10Fold,1,0.5120833680461899,0.5968974499820644,0.26666666666666666,0.12607099143206854,knn,formant,EN,nat
12,formant_knn_2_wvENResponses10Fold,2,0.6713732468419725,0.5935852543738559,0.0,0.12607099143206854,knn,formant,EN,nat
13,formant_knn_2_wvENResponses10Fold,3,0.5807291365555877,0.5520130865977643,0.11764705882352941,0.12607099143206854,knn,formant,EN,nat
14,formant_knn_2_wvENResponses10Fold,4,0.649016813658009,0.5885679408076161,0.0625,0.12607099143206854,knn,formant,EN,nat
15,formant_knn_2_wvENResponses10Fold,5,0.6001356662952289,0.5561439782318055,0.0,0.12607099143206854,knn,formant,EN,nat
16,formant_knn_2_wvENResponses10Fold,6,0.5957421655353323,0.5800724957583283,0.125,0.12607099143206854,knn,formant,EN,nat
17,formant_knn_2_wvENResponses10Fold,7,0.5274309692759332,0.5335406544629744,0.0625,0.11627906976744186,knn,formant,EN,nat
18,formant_knn_2_wvENResponses10Fold,8,0.665504112490467,0.5862308034886721,0.0,0.12607099143206854,knn,formant,EN,nat
19,formant_knn_2_wvENResponses10Fold,9,0.5894127030029821,0.5553792624888821,0.0625,0.12607099143206854,knn,formant,EN,nat
20,formant_knn_2_wvFRNonnativeResponses10Fold,0,0.5854909626914913,0.5585869651966228,0.14492753623188406,0.19480519480519481,knn,formant,FR,non-nat
21,formant_knn_2_wvFRNonnativeResponses10Fold,1,0.5854974955726451,0.5055546567817606,0.14492753623188406,0.2727272727272727,knn,formant,FR,non-nat
22,formant_knn_2_wvFRNonnativeResponses10Fold,2,0.5853405144786357,0.5322257610764908,0.14492753623188406,0.23076923076923078,knn,formant,FR,non-nat
23,formant_knn_2_wvFRNonnativeResponses10Fold,3,0.5855333346156781,0.5451015153548918,0.14492753623188406,0.22077922077922077,knn,formant,FR,non-nat
24,formant_knn_2_wvFRNonnativeResponses10Fold,4,0.585531650035427,0.5935335172977825,0.14492753623188406,0.12987012987012986,knn,formant,FR,non-nat
25,formant_knn_2_wvFRNonnativeResponses10Fold,5,0.5806565196550364,0.5467304544048843,0.14492753623188406,0.22077922077922077,knn,formant,FR,non-nat
26,formant_knn_2_wvFRNonnativeResponses10Fold,6,0.5854487135604269,0.5079483772888309,0.14492753623188406,0.2597402597402597,knn,formant,FR,non-nat
27,formant_knn_2_wvFRNonnativeResponses10Fold,7,0.5853691649396175,0.5792387344956132,0.14492753623188406,0.15789473684210525,knn,formant,FR,non-nat
28,formant_knn_2_wvFRNonnativeResponses10Fold,8,0.5855059550823163,0.5940048972732562,0.14492753623188406,0.14473684210526316,knn,formant,FR,non-nat
29,formant_knn_2_wvFRNonnativeResponses10Fold,9,0.585324510830247,0.6137663649568401,0.14492753623188406,0.11538461538461539,knn,formant,FR,non-nat
30,formant_knn_2_wvFRResponses10Fold,0,0.622804083425575,0.6216251102370581,0.09090909090909091,0.09350649350649351,knn,formant,FR,nat
31,formant_knn_2_wvFRResponses10Fold,1,0.6047353908928005,0.6216453221756283,0.08695652173913043,0.09350649350649351,knn,formant,FR,nat
32,formant_knn_2_wvFRResponses10Fold,2,0.6461317979912773,0.6216550160416581,0.0,0.09350649350649351,knn,formant,FR,nat
33,formant_knn_2_wvFRResponses10Fold,3,0.6228380121475316,0.6216527071012208,0.045454545454545456,0.09350649350649351,knn,formant,FR,nat
34,formant_knn_2_wvFRResponses10Fold,4,0.5822474538639176,0.6216401753146973,0.15,0.09350649350649351,knn,formant,FR,nat
35,formant_knn_2_wvFRResponses10Fold,5,0.6546334316461427,0.5567429717852711,0.05555555555555555,0.1961038961038961,knn,formant,FR,nat
36,formant_knn_2_wvFRResponses10Fold,6,0.6069459502938815,0.6216279927283914,0.05263157894736842,0.09350649350649351,knn,formant,FR,nat
37,formant_knn_2_wvFRResponses10Fold,7,0.638540595534811,0.62160261211593,0.05263157894736842,0.09350649350649351,knn,formant,FR,nat
38,formant_knn_2_wvFRResponses10Fold,8,0.6427422479057616,0.6216234852336844,0.09523809523809523,0.09350649350649351,knn,formant,FR,nat
39,formant_knn_2_wvFRResponses10Fold,9,0.6722018573731929,0.6216504514375777,0.05,0.09350649350649351,knn,formant,FR,nat
40,formant_max_class_2_wvENNonnativeResponses10Fold_varHiddenRelu,0,0.35652897483397117,0.31220077977584954,0.3375,0.3048780487804878,max,formant,EN,non-nat
41,formant_max_class_2_wvENNonnativeResponses10Fold_varHiddenRelu,1,0.4006928767196424,0.3344235094699111,0.2375,0.3048780487804878,max,formant,EN,non-nat
42,formant_max_class_2_wvENNonnativeResponses10Fold_varHiddenRelu,2,0.35595070974189535,0.29211867326179924,0.38125,0.38271604938271603,max,formant,EN,non-nat
43,formant_max_class_2_wvENNonnativeResponses10Fold_varHiddenRelu,3,0.34464888169651936,0.3005111723506772,0.3875,0.3950617283950617,max,formant,EN,non-nat
44,formant_max_class_2_wvENNonnativeResponses10Fold_varHiddenRelu,4,0.34384080337436396,0.30235302329429403,0.375,0.36585365853658536,max,formant,EN,non-nat
45,formant_max_class_2_wvENNonnativeResponses10Fold_varHiddenRelu,5,0.35968657195354453,0.2899090494377724,0.3375,0.345679012345679,max,formant,EN,non-nat
46,formant_max_class_2_wvENNonnativeResponses10Fold_varHiddenRelu,6,0.35100493309543956,0.2958361941472369,0.375,0.3950617283950617,max,formant,EN,non-nat
47,formant_max_class_2_wvENNonnativeResponses10Fold_varHiddenRelu,7,0.33882816476352706,0.3063173336824965,0.38125,0.32926829268292684,max,formant,EN,non-nat
48,formant_max_class_2_wvENNonnativeResponses10Fold_varHiddenRelu,8,0.35958948959804216,0.29981007081000033,0.325,0.34146341463414637,max,formant,EN,non-nat
49,formant_max_class_2_wvENNonnativeResponses10Fold_varHiddenRelu,9,0.35608058906348883,0.2963243544895767,0.3375,0.3855421686746988,max,formant,EN,non-nat
50,formant_max_class_2_wvENResponses10Fold_varHiddenRelu,0,0.25807041390754293,0.36874538389322364,0.5,0.2558139534883721,max,formant,EN,nat
51,formant_max_class_2_wvENResponses10Fold_varHiddenRelu,1,0.32245670887423356,0.37117854823229735,0.2,0.22888616891064872,max,formant,EN,nat
52,formant_max_class_2_wvENResponses10Fold_varHiddenRelu,2,0.3006326647471782,0.3753758504594485,0.5625,0.18849449204406366,max,formant,EN,nat
53,formant_max_class_2_wvENResponses10Fold_varHiddenRelu,3,0.3331265686765514,0.3715960418446077,0.29411764705882354,0.2594859241126071,max,formant,EN,nat
54,formant_max_class_2_wvENResponses10Fold_varHiddenRelu,4,0.34599501812924827,0.3717030511025346,0.375,0.22399020807833536,max,formant,EN,nat
55,formant_max_class_2_wvENResponses10Fold_varHiddenRelu,5,0.36331216133845706,0.39070409176949233,0.1875,0.18604651162790697,max,formant,EN,nat
56,formant_max_class_2_wvENResponses10Fold_varHiddenRelu,6,0.3510230536349489,0.36890616017961675,0.1875,0.26438188494492043,max,formant,EN,nat
57,formant_max_class_2_wvENResponses10Fold_varHiddenRelu,7,0.29151780927782767,0.3677359821934802,0.5625,0.2692778457772338,max,formant,EN,nat
58,formant_max_class_2_wvENResponses10Fold_varHiddenRelu,8,0.3101576846703201,0.3638515651299757,0.625,0.2594859241126071,max,formant,EN,nat
59,formant_max_class_2_wvENResponses10Fold_varHiddenRelu,9,0.2921973670958231,0.37538503000410084,0.6875,0.24724602203182375,max,formant,EN,nat
60,formant_max_class_2_wvFRNonnativeResponses10Fold_varHiddenRelu,0,0.4070855052197007,0.35485392336570337,0.30434782608695654,0.37662337662337664,max,formant,FR,non-nat
