,language,vowel,file,classification,probabilities
2009,BR,i,BR132,i,0.99994576
5009,BR,i,BR132,y,4.5397468e-05
1009,BR,i,BR132,e,6.143879e-06
11009,BR,i,BR132,ɛ,5.6024927e-09
12009,BR,i,BR132,ɛ̃,5.6024927e-09
6009,BR,i,BR132,ø,2.2602069e-06
7009,BR,i,BR132,œ,5.6024927e-09
9,BR,i,BR132,a,5.6024927e-09
8009,BR,i,BR132,ɑ̃,5.6024927e-09
3009,BR,i,BR132,o,5.6024927e-09
9009,BR,i,BR132,ɔ,5.6024927e-09
10009,BR,i,BR132,ɔ̃,3.0588572e-07
4009,BR,i,BR132,u,5.6024927e-09
2045,BR,i,BR329,i,5.8400096e-06
5045,BR,i,BR329,y,0.047322087
1045,BR,i,BR329,e,0.00086673425
11045,BR,i,BR329,ɛ,0.9504895
12045,BR,i,BR329,ɛ̃,2.1484195e-06
6045,BR,i,BR329,ø,0.0003188537
7045,BR,i,BR329,œ,2.1484195e-06
45,BR,i,BR329,a,0.00011729972
8045,BR,i,BR329,ɑ̃,2.1484195e-06
3045,BR,i,BR329,o,2.1484195e-06
9045,BR,i,BR329,ɔ,2.1484195e-06
10045,BR,i,BR329,ɔ̃,0.00086673425
4045,BR,i,BR329,u,2.1484195e-06
2058,BR,i,BR373,i,0.000107869
5058,BR,i,BR373,y,0.11829272
1058,BR,i,BR373,e,3.968279e-05
11058,BR,i,BR373,ɛ,0.000107869
12058,BR,i,BR373,ɛ̃,1.4598481e-05
6058,BR,i,BR373,ø,0.0021666067
7058,BR,i,BR373,œ,1.4598481e-05
58,BR,i,BR373,a,0.0007970501
8058,BR,i,BR373,ɑ̃,0.0021666067
3058,BR,i,BR373,o,3.968279e-05
9058,BR,i,BR373,ɔ,1.4598481e-05
10058,BR,i,BR373,ɔ̃,0.87407154
4058,BR,i,BR373,u,0.0021666067
2059,BR,i,BR374,i,3.059009e-07
5059,BR,i,BR374,y,8.3152486e-07
1059,BR,i,BR374,e,2.260319e-06
11059,BR,i,BR374,ɛ,8.3152486e-07
12059,BR,i,BR374,ɛ̃,5.6027702e-09
6059,BR,i,BR374,ø,5.6027702e-09
7059,BR,i,BR374,œ,5.6027702e-09
59,BR,i,BR374,a,3.059009e-07
8059,BR,i,BR374,ɑ̃,4.1399183e-08
3059,BR,i,BR374,o,5.6027702e-09
9059,BR,i,BR374,ɔ,5.6027702e-09
10059,BR,i,BR374,ɔ̃,0.99999535
4059,BR,i,BR374,u,5.6027702e-09
2060,BR,i,BR375,i,0.00012304829
5060,BR,i,BR375,y,4.1278103e-08
1060,BR,i,BR375,e,0.00033447993
11060,BR,i,BR375,ɛ,0.99707067
12060,BR,i,BR375,ɛ̃,4.1278103e-08
6060,BR,i,BR375,ø,4.1278103e-08
7060,BR,i,BR375,œ,4.1278103e-08
60,BR,i,BR375,a,4.1278103e-08
8060,BR,i,BR375,ɑ̃,4.1278103e-08
3060,BR,i,BR375,o,4.1278103e-08
9060,BR,i,BR375,ɔ,4.1278103e-08
10060,BR,i,BR375,ɔ̃,0.0024714912
4060,BR,i,BR375,u,4.1278103e-08
2074,BR,i,BR452,i,0.8788581
5074,BR,i,BR452,y,0.11894051
1074,BR,i,BR452,e,2.6884473e-07
11074,BR,i,BR452,ɛ,2.6884473e-07
12074,BR,i,BR452,ɛ̃,2.6884473e-07
6074,BR,i,BR452,ø,2.6884473e-07
7074,BR,i,BR452,œ,7.3079576e-07
74,BR,i,BR452,a,5.3998906e-06
8074,BR,i,BR452,ɑ̃,2.6884473e-07
3074,BR,i,BR452,o,2.6884473e-07
9074,BR,i,BR452,ɔ,2.6884473e-07
10074,BR,i,BR452,ɔ̃,0.0021784715
4074,BR,i,BR452,u,1.4678425e-05
2075,BR,i,BR454,i,0.49999946
5075,BR,i,BR454,y,0.49999946
1075,BR,i,BR454,e,2.8013951e-09
11075,BR,i,BR454,ɛ,2.8013951e-09
12075,BR,i,BR454,ɛ̃,2.8013951e-09
6075,BR,i,BR454,ø,7.6149815e-09
7075,BR,i,BR454,œ,2.8013951e-09
75,BR,i,BR454,a,2.8013951e-09
8075,BR,i,BR454,ɑ̃,2.8013951e-09
3075,BR,i,BR454,o,2.8013951e-09
9075,BR,i,BR454,ɔ,2.8013951e-09
10075,BR,i,BR454,ɔ̃,1.1301635e-06
4075,BR,i,BR454,u,2.8013951e-09
2078,BR,i,BR46,i,0.99752384
5078,BR,i,BR46,y,2.2547324e-06
1078,BR,i,BR46,e,8.2946974e-07
11078,BR,i,BR46,ɛ,1.1225652e-07
12078,BR,i,BR46,ɛ̃,1.5192267e-08
6078,BR,i,BR46,ø,4.1296865e-08
7078,BR,i,BR46,œ,1.5192267e-08
78,BR,i,BR46,a,3.0514485e-07
8078,BR,i,BR46,ɑ̃,1.5192267e-08
3078,BR,i,BR46,o,1.5192267e-08
9078,BR,i,BR46,ɔ,1.5192267e-08
10078,BR,i,BR46,ɔ̃,0.0024726144
4078,BR,i,BR46,u,1.5192267e-08
2082,BR,i,BR47,i,0.99960166
5082,BR,i,BR47,y,0.000335329
1082,BR,i,BR47,e,4.5381847e-05
11082,BR,i,BR47,ɛ,4.1382883e-08
12082,BR,i,BR47,ɛ̃,3.0578047e-07
6082,BR,i,BR47,ø,1.1249035e-07
7082,BR,i,BR47,œ,4.1382883e-08
82,BR,i,BR47,a,4.1382883e-08
8082,BR,i,BR47,ɑ̃,3.0578047e-07
3082,BR,i,BR47,o,4.1382883e-08
9082,BR,i,BR47,ɔ,1.1249035e-07
10082,BR,i,BR47,ɔ̃,1.6695049e-05
4082,BR,i,BR47,u,4.1382883e-08
2088,BR,i,BR496,i,0.11920259
5088,BR,i,BR496,y,0.88079464
1088,BR,i,BR496,e,9.912038e-08
11088,BR,i,BR496,ɛ,7.32406e-07
12088,BR,i,BR496,ɛ̃,3.6464346e-08
6088,BR,i,BR496,ø,2.6943712e-07
7088,BR,i,BR496,œ,9.912038e-08
88,BR,i,BR496,a,7.32406e-07
8088,BR,i,BR496,ɑ̃,3.6464346e-08
3088,BR,i,BR496,o,3.6464346e-08
9088,BR,i,BR496,ɔ,3.6464346e-08
10088,BR,i,BR496,ɔ̃,7.32406e-07
4088,BR,i,BR496,u,3.6464346e-08
2135,BR,i,BR741,i,0.9999999
5135,BR,i,BR741,y,1.1253516e-07
1135,BR,i,BR741,e,1.5229977e-08
11135,BR,i,BR741,ɛ,2.7894678e-10
12135,BR,i,BR741,ɛ̃,3.775134e-11
6135,BR,i,BR741,ø,1.0261878e-10
7135,BR,i,BR741,œ,2.0611535e-09
135,BR,i,BR741,a,3.775134e-11
8135,BR,i,BR741,ɑ̃,3.775134e-11
3135,BR,i,BR741,o,3.775134e-11
9135,BR,i,BR741,ɔ,3.775134e-11
10135,BR,i,BR741,ɔ̃,3.775134e-11
4135,BR,i,BR741,u,3.775134e-11
2136,BR,i,BR742,i,0.0030644154
5136,BR,i,BR742,y,5.6126722e-05
1136,BR,i,BR742,e,0.022643136
11136,BR,i,BR742,ɛ,0.45479956
12136,BR,i,BR742,ɛ̃,0.061550427
6136,BR,i,BR742,ø,0.00041472353
7136,BR,i,BR742,œ,0.45479956
136,BR,i,BR742,a,0.0011273355
8136,BR,i,BR742,ɑ̃,0.0011273355
3136,BR,i,BR742,o,5.6126722e-05
9136,BR,i,BR742,ɔ,0.00015256826
10136,BR,i,BR742,ɔ̃,0.00015256826
4136,BR,i,BR742,u,5.6126722e-05
2141,BR,i,BR757,i,0.00032676535
5141,BR,i,BR757,y,5.9849167e-06
1141,BR,i,BR757,e,0.006563258
11141,BR,i,BR757,ɛ,0.017840784
12141,BR,i,BR757,ɛ̃,0.00088824035
6141,BR,i,BR757,ø,1.626869e-05
7141,BR,i,BR757,œ,0.9740738
141,BR,i,BR757,a,0.00012021026
8141,BR,i,BR757,ɑ̃,0.00012021026
3141,BR,i,BR757,o,5.9849167e-06
9141,BR,i,BR757,ɔ,1.626869e-05
10141,BR,i,BR757,ɔ̃,1.626869e-05
4141,BR,i,BR757,u,5.9849167e-06
2146,BR,i,BR796,i,0.0009094308
5146,BR,i,BR796,y,0.00033456087
1146,BR,i,BR796,e,0.00012307808
11146,BR,i,BR796,ɛ,0.0009094308
12146,BR,i,BR796,ɛ̃,2.2542536e-06
6146,BR,i,BR796,ø,2.2542536e-06
7146,BR,i,BR796,œ,2.2542536e-06
