,language,vowel,file,classification,probabilities
146,BR,i,BR796,a,2.2542536e-06
8146,BR,i,BR796,ɑ̃,1.6656806e-05
3146,BR,i,BR796,o,4.5277895e-05
9146,BR,i,BR796,ɔ,6.1276965e-06
10146,BR,i,BR796,ɔ̃,0.99731195
4146,BR,i,BR796,u,0.00033456087
2189,BR,i,BR99,i,0.87530357
5189,BR,i,BR99,y,0.005897749
1189,BR,i,BR99,e,3.9738723e-05
11189,BR,i,BR99,ɛ,7.278401e-07
12189,BR,i,BR99,ɛ̃,7.278401e-07
6189,BR,i,BR99,ø,0.00029363163
7189,BR,i,BR99,œ,7.278401e-07
189,BR,i,BR99,a,7.278401e-07
8189,BR,i,BR99,ɑ̃,7.278401e-07
3189,BR,i,BR99,o,7.278401e-07
9189,BR,i,BR99,ɔ,7.278401e-07
10189,BR,i,BR99,ɔ̃,0.118459456
4189,BR,i,BR99,u,7.278401e-07
2190,BR,i,BR992,i,0.9321994
5190,BR,i,BR992,y,0.046411473
1190,BR,i,BR992,e,0.0023106914
11190,BR,i,BR992,ɛ,0.000115042545
12190,BR,i,BR992,ɛ̃,1.5569316e-05
6190,BR,i,BR992,ø,0.0062811105
7190,BR,i,BR992,œ,1.5569316e-05
190,BR,i,BR992,a,1.5569316e-05
8190,BR,i,BR992,ɑ̃,1.5569316e-05
3190,BR,i,BR992,o,4.232179e-05
9190,BR,i,BR992,ɔ,1.5569316e-05
10190,BR,i,BR992,ɔ̃,0.0062811105
4190,BR,i,BR992,u,0.0062811105
2004,BR,ĩ,BR1025,i,0.00090206193
5004,BR,ĩ,BR1025,y,0.0024520587
1004,BR,ĩ,BR1025,e,0.0001220808
11004,BR,ĩ,BR1025,ɛ,0.0001220808
12004,BR,ĩ,BR1025,ɛ̃,6.0780458e-06
6004,BR,ĩ,BR1025,ø,0.0066653863
7004,BR,ĩ,BR1025,œ,1.652184e-05
4,BR,ĩ,BR1025,a,0.0001220808
8004,BR,ĩ,BR1025,ɑ̃,6.0780458e-06
3004,BR,ĩ,BR1025,o,1.652184e-05
9004,BR,ĩ,BR1025,ɔ,6.0780458e-06
10004,BR,ĩ,BR1025,ɔ̃,0.98923105
4004,BR,ĩ,BR1025,u,0.00033185005
2005,BR,ĩ,BR1029,i,0.01795155
5005,BR,ĩ,BR1029,y,0.0003287941
1005,BR,ĩ,BR1029,e,0.0003287941
11005,BR,ĩ,BR1029,ɛ,0.00012095658
12005,BR,ĩ,BR1029,ɛ̃,4.4497443e-05
6005,BR,ĩ,BR1029,ø,0.000893755
7005,BR,ĩ,BR1029,œ,6.022074e-06
5,BR,ĩ,BR1029,a,6.022074e-06
8005,BR,ĩ,BR1029,ɑ̃,4.4497443e-05
3005,BR,ĩ,BR1029,o,1.6369693e-05
9005,BR,ĩ,BR1029,ɔ,1.6369693e-05
10005,BR,ĩ,BR1029,ɔ̃,0.9801214
4005,BR,ĩ,BR1029,u,0.00012095658
2013,BR,ĩ,BR154,i,0.26486433
5013,BR,ĩ,BR154,y,0.0017846419
1013,BR,ĩ,BR154,e,4.423685e-06
11013,BR,ĩ,BR154,ɛ,3.2686854e-05
12013,BR,ĩ,BR154,ɛ̃,4.423685e-06
6013,BR,ĩ,BR154,ø,3.2686854e-05
7013,BR,ĩ,BR154,œ,4.423685e-06
13,BR,ĩ,BR154,a,8.885208e-05
8013,BR,ĩ,BR154,ɑ̃,4.423685e-06
3013,BR,ĩ,BR154,o,1.2024821e-05
9013,BR,ĩ,BR154,ɔ,4.423685e-06
10013,BR,ĩ,BR154,ɔ̃,0.7199759
4013,BR,ĩ,BR154,u,0.013186819
2014,BR,ĩ,BR158,i,0.95000017
5014,BR,ĩ,BR158,y,0.047297724
1014,BR,ĩ,BR158,e,7.899524e-07
11014,BR,ĩ,BR158,ɛ,5.837003e-06
12014,BR,ĩ,BR158,ɛ̃,7.899524e-07
6014,BR,ĩ,BR158,ø,7.899524e-07
7014,BR,ĩ,BR158,œ,7.899524e-07
14,BR,ĩ,BR158,a,1.5866619e-05
8014,BR,ĩ,BR158,ɑ̃,7.899524e-07
3014,BR,ĩ,BR158,o,2.1473134e-06
9014,BR,ĩ,BR158,ɔ,7.899524e-07
10014,BR,ĩ,BR158,ɔ̃,0.00031868956
4014,BR,ĩ,BR158,u,0.0023548151
2015,BR,ĩ,BR159,i,0.99050343
5015,BR,ĩ,BR159,y,0.0066739595
1015,BR,ĩ,BR159,e,8.2363204e-07
11015,BR,ĩ,BR159,ɛ,6.0858633e-06
12015,BR,ĩ,BR159,ɛ̃,8.2363204e-07
6015,BR,ĩ,BR159,ø,8.2363204e-07
7015,BR,ĩ,BR159,œ,8.2363204e-07
15,BR,ĩ,BR159,a,1.6543092e-05
8015,BR,ĩ,BR159,ɑ̃,8.2363204e-07
3015,BR,ĩ,BR159,o,2.238864e-06
9015,BR,ĩ,BR159,ɔ,6.0858633e-06
10015,BR,ĩ,BR159,ɔ̃,0.0003322769
4015,BR,ĩ,BR159,u,0.0024552126
2033,BR,ĩ,BR264,i,2.2159948e-06
5033,BR,ĩ,BR264,y,0.9803858
1033,BR,ĩ,BR264,e,2.2159948e-06
11033,BR,ĩ,BR264,ɛ,2.2159948e-06
12033,BR,ĩ,BR264,ɛ̃,2.2159948e-06
6033,BR,ĩ,BR264,ø,0.0003288828
7033,BR,ĩ,BR264,œ,2.2159948e-06
33,BR,ĩ,BR264,a,0.017956393
8033,BR,ĩ,BR264,ɑ̃,4.450945e-05
3033,BR,ĩ,BR264,o,6.0236985e-06
9033,BR,ĩ,BR264,ɔ,4.450945e-05
10033,BR,ĩ,BR264,ɔ̃,0.0008939961
4033,BR,ĩ,BR264,u,0.0003288828
2067,BR,ĩ,BR411,i,3.0507857e-07
5067,BR,ĩ,BR411,y,0.0024720775
1067,BR,ĩ,BR411,e,3.0507857e-07
11067,BR,ĩ,BR411,ɛ,3.0507857e-07
12067,BR,ĩ,BR411,ɛ̃,2.2542429e-06
6067,BR,ĩ,BR411,ø,4.5277677e-05
7067,BR,ĩ,BR411,œ,3.0507857e-07
67,BR,ĩ,BR411,a,0.9973072
8067,BR,ĩ,BR411,ɑ̃,2.2542429e-06
3067,BR,ĩ,BR411,o,8.2928955e-07
9067,BR,ĩ,BR411,ɔ,4.5277677e-05
10067,BR,ĩ,BR411,ɔ̃,0.00012307748
4067,BR,ĩ,BR411,u,3.0507857e-07
2068,BR,ĩ,BR417,i,1.1242497e-07
5068,BR,ĩ,BR417,y,0.00091098895
1068,BR,ĩ,BR417,e,1.1242497e-07
11068,BR,ĩ,BR417,ɛ,1.1242497e-07
12068,BR,ĩ,BR417,ɛ̃,1.1242497e-07
6068,BR,ĩ,BR417,ø,1.6685344e-05
7068,BR,ĩ,BR417,œ,1.1242497e-07
68,BR,ĩ,BR417,a,0.9990207
8068,BR,ĩ,BR417,ɑ̃,2.258116e-06
3068,BR,ĩ,BR417,o,8.307144e-07
9068,BR,ĩ,BR417,ɔ,2.258116e-06
10068,BR,ĩ,BR417,ɔ̃,4.535547e-05
4068,BR,ĩ,BR417,u,3.0560275e-07
2090,BR,ĩ,BR504,i,4.454099e-05
5090,BR,ĩ,BR504,y,0.9810806
1090,BR,ĩ,BR504,e,3.0011483e-07
11090,BR,ĩ,BR504,ɛ,3.0011483e-07
12090,BR,ĩ,BR504,ɛ̃,3.0011483e-07
6090,BR,ĩ,BR504,ø,2.2175655e-06
7090,BR,ĩ,BR504,œ,3.0011483e-07
90,BR,ĩ,BR504,a,3.0011483e-07
8090,BR,ĩ,BR504,ɑ̃,3.0011483e-07
3090,BR,ĩ,BR504,o,8.157967e-07
9090,BR,ĩ,BR504,ɔ,6.0279676e-06
10090,BR,ĩ,BR504,ɔ̃,0.017969118
4090,BR,ĩ,BR504,u,0.0008946297
2091,BR,ĩ,BR510,i,0.046602074
5091,BR,ĩ,BR510,y,0.9360277
1091,BR,ĩ,BR510,e,5.751153e-06
11091,BR,ĩ,BR510,ɛ,4.2495594e-05
12091,BR,ĩ,BR510,ɛ̃,2.115731e-06
6091,BR,ĩ,BR510,ø,4.2495594e-05
7091,BR,ĩ,BR510,œ,5.751153e-06
91,BR,ĩ,BR510,a,2.115731e-06
8091,BR,ĩ,BR510,ɑ̃,2.115731e-06
3091,BR,ĩ,BR510,o,5.751153e-06
9091,BR,ĩ,BR510,ɔ,2.115731e-06
10091,BR,ĩ,BR510,ɔ̃,0.017143946
4091,BR,ĩ,BR510,u,0.000115514995
2100,BR,ĩ,BR559,i,4.4276036e-05
5100,BR,ĩ,BR559,y,0.9752446
1100,BR,ĩ,BR559,e,1.6288242e-05
11100,BR,ĩ,BR559,ɛ,0.00012035474
12100,BR,ĩ,BR559,ɛ̃,2.2043741e-06
6100,BR,ĩ,BR559,ø,0.00012035474
7100,BR,ĩ,BR559,œ,5.99211e-06
100,BR,ĩ,BR559,a,2.2043741e-06
8100,BR,ĩ,BR559,ɑ̃,2.2043741e-06
3100,BR,ĩ,BR559,o,5.99211e-06
9100,BR,ĩ,BR559,ɔ,2.2043741e-06
10100,BR,ĩ,BR559,ɔ̃,0.017862229
4100,BR,ĩ,BR559,u,0.006571146
2116,BR,ĩ,BR648,i,0.00430028
5116,BR,ĩ,BR648,y,7.876238e-05
1116,BR,ĩ,BR648,e,0.08637343
11116,BR,ĩ,BR648,ɛ,0.23478734
12116,BR,ĩ,BR648,ɛ̃,0.03177501
6116,BR,ĩ,BR648,ø,0.00021409834
7116,BR,ĩ,BR648,œ,0.63821816
116,BR,ĩ,BR648,a,0.0015819847
8116,BR,ĩ,BR648,ɑ̃,0.0015819847
3116,BR,ĩ,BR648,o,7.876238e-05
9116,BR,ĩ,BR648,ɔ,0.00021409834
10116,BR,ĩ,BR648,ɔ̃,0.00021409834
4116,BR,ĩ,BR648,u,0.00058197964
2121,BR,ĩ,BR687,i,0.001999448
5121,BR,ĩ,BR687,y,3.6621168e-05
1121,BR,ĩ,BR687,e,0.04015998
11121,BR,ĩ,BR687,ɛ,0.10916615
12121,BR,ĩ,BR687,ɛ̃,0.04015998
6121,BR,ĩ,BR687,ø,9.954665e-05
7121,BR,ĩ,BR687,œ,0.80663484
121,BR,ĩ,BR687,a,0.0007355558
8121,BR,ĩ,BR687,ɑ̃,0.0007355558
3121,BR,ĩ,BR687,o,3.6621168e-05
9121,BR,ĩ,BR687,ɔ,9.954665e-05
10121,BR,ĩ,BR687,ɔ̃,9.954665e-05
4121,BR,ĩ,BR687,u,3.6621168e-05
2160,BR,ĩ,BR848,i,0.00033266933
5160,BR,ĩ,BR848,y,0.00033266933
1160,BR,ĩ,BR848,e,1.656263e-05
11160,BR,ĩ,BR848,ɛ,1.656263e-05
12160,BR,ĩ,BR848,ɛ̃,2.2415084e-06
6160,BR,ĩ,BR848,ø,2.2415084e-06
7160,BR,ĩ,BR848,œ,2.2415084e-06
160,BR,ĩ,BR848,a,2.2415084e-06
8160,BR,ĩ,BR848,ɑ̃,1.656263e-05
3160,BR,ĩ,BR848,o,0.0066818423
9160,BR,ĩ,BR848,ɔ,1.656263e-05
10160,BR,ĩ,BR848,ɔ̃,0.9916733
4160,BR,ĩ,BR848,u,0.000904289
2161,BR,ĩ,BR850,i,0.17173794
5161,BR,ĩ,BR850,y,0.0004256958
1161,BR,ĩ,BR850,e,0.023242202
11161,BR,ĩ,BR850,ɛ,0.023242202
12161,BR,ĩ,BR850,ɛ̃,0.0011571611
6161,BR,ĩ,BR850,ø,0.0004256958
7161,BR,ĩ,BR850,œ,0.06317885
161,BR,ĩ,BR850,a,0.008550328
8161,BR,ĩ,BR850,ɑ̃,0.0031454898
3161,BR,ĩ,BR850,o,0.4668321
9161,BR,ĩ,BR850,ɔ,0.0031454898
10161,BR,ĩ,BR850,ɔ̃,0.17173794
4161,BR,ĩ,BR850,u,0.06317885
2165,BR,ĩ,BR880,i,0.9838657
5165,BR,ĩ,BR880,y,0.0008971694
1165,BR,ĩ,BR880,e,4.4667435e-05
11165,BR,ĩ,BR880,ɛ,0.00033005016
12165,BR,ĩ,BR880,ɛ̃,0.00033005016
6165,BR,ĩ,BR880,ø,0.0066292346
7165,BR,ĩ,BR880,œ,4.4667435e-05
165,BR,ĩ,BR880,a,4.4667435e-05
8165,BR,ĩ,BR880,ɑ̃,0.00012141867
3165,BR,ĩ,BR880,o,0.00012141867
9165,BR,ĩ,BR880,ɔ,4.4667435e-05
10165,BR,ĩ,BR880,ɔ̃,0.0066292346
4165,BR,ĩ,BR880,u,0.0008971694
2002,BR,e,BR1014,i,6.076835e-06
5002,BR,e,BR1014,y,0.0024515702
1002,BR,e,BR1014,e,0.00012205648
11002,BR,e,BR1014,ɛ,0.00090188225
12002,BR,e,BR1014,ɛ̃,6.076835e-06
6002,BR,e,BR1014,ø,0.006664058
7002,BR,e,BR1014,œ,0.00033178393
2,BR,e,BR1014,a,0.00012205648
8002,BR,e,BR1014,ɑ̃,6.076835e-06
3002,BR,e,BR1014,o,1.6518548e-05
9002,BR,e,BR1014,ɔ,6.076835e-06
10002,BR,e,BR1014,ɔ̃,0.98903394
4002,BR,e,BR1014,u,0.00033178393
2035,BR,e,BR283,i,0.0002215156
5035,BR,e,BR283,y,0.24292135
1035,BR,e,BR283,e,8.149103e-05
11035,BR,e,BR283,ɛ,0.0002215156
12035,BR,e,BR283,ɛ̃,2.9978877e-05
6035,BR,e,BR283,ø,0.0044492595
7035,BR,e,BR283,œ,2.9978877e-05
35,BR,e,BR283,a,0.6603287
8035,BR,e,BR283,ɑ̃,2.9978877e-05
3035,BR,e,BR283,o,8.149103e-05
9035,BR,e,BR283,ɔ,0.00060214184
10035,BR,e,BR283,ɔ̃,0.089365765
4035,BR,e,BR283,u,0.0016367913
2036,BR,e,BR288,i,0.54959905
5036,BR,e,BR288,y,0.010066258
1036,BR,e,BR288,e,0.074380144
11036,BR,e,BR288,ɛ,0.010066258
12036,BR,e,BR288,ɛ̃,0.0037031693
6036,BR,e,BR288,ø,0.074380144
7036,BR,e,BR288,œ,0.00018436994
36,BR,e,BR288,a,0.074380144
8036,BR,e,BR288,ɑ̃,0.0005011695
3036,BR,e,BR288,o,0.00018436994
9036,BR,e,BR288,ɔ,0.00018436994
10036,BR,e,BR288,ɔ̃,0.2021862
4036,BR,e,BR288,u,0.00018436994
2043,BR,e,BR320,i,6.1441583e-06
5043,BR,e,BR320,y,1.5229844e-08
1043,BR,e,BR320,e,8.315214e-07
11043,BR,e,BR320,ɛ,3.0589962e-07
12043,BR,e,BR320,ɛ̃,1.5229844e-08
6043,BR,e,BR320,ø,1.5229844e-08
7043,BR,e,BR320,œ,3.0589962e-07
43,BR,e,BR320,a,8.315214e-07
8043,BR,e,BR320,ɑ̃,1.1253418e-07
3043,BR,e,BR320,o,1.1253418e-07
9043,BR,e,BR320,ɔ,4.139901e-08
10043,BR,e,BR320,ɔ̃,0.9999912
4043,BR,e,BR320,u,1.1253418e-07
2044,BR,e,BR323,i,0.004892347
5044,BR,e,BR323,y,1.2126915e-05
1044,BR,e,BR323,e,0.00066210714
11044,BR,e,BR323,ɛ,0.72608864
12044,BR,e,BR323,ɛ̃,1.2126915e-05
6044,BR,e,BR323,ø,1.2126915e-05
7044,BR,e,BR323,œ,0.00066210714
44,BR,e,BR323,a,0.0002435756
8044,BR,e,BR323,ɑ̃,8.960645e-05
3044,BR,e,BR323,o,8.960645e-05
9044,BR,e,BR323,ɔ,3.2964374e-05
10044,BR,e,BR323,ɔ̃,0.2671131
4044,BR,e,BR323,u,8.960645e-05
2086,BR,e,BR489,i,1.6626487e-05
5086,BR,e,BR489,y,0.0009077754
1086,BR,e,BR489,e,0.0024675895
11086,BR,e,BR489,ɛ,0.0009077754
12086,BR,e,BR489,ɛ̃,2.2501504e-06
6086,BR,e,BR489,ø,1.6626487e-05
7086,BR,e,BR489,œ,6.116543e-06
86,BR,e,BR489,a,4.5195477e-05
8086,BR,e,BR489,ɑ̃,2.2501504e-06
3086,BR,e,BR489,o,6.116543e-06
9086,BR,e,BR489,ɔ,2.2501504e-06
10086,BR,e,BR489,ɔ̃,0.99549663
4086,BR,e,BR489,u,0.00012285403
2087,BR,e,BR490,i,2.2165937e-06
5087,BR,e,BR490,y,0.0008942377
1087,BR,e,BR490,e,6.0253265e-06
11087,BR,e,BR490,ɛ,4.4521476e-05
12087,BR,e,BR490,ɛ̃,2.2165937e-06
6087,BR,e,BR490,ø,1.6378535e-05
7087,BR,e,BR490,œ,0.00032897166
87,BR,e,BR490,a,4.4521476e-05
8087,BR,e,BR490,ɑ̃,2.2165937e-06
3087,BR,e,BR490,o,4.4521476e-05
9087,BR,e,BR490,ɔ,2.2165937e-06
10087,BR,e,BR490,ɔ̃,0.9806507
4087,BR,e,BR490,u,0.017961245
2113,BR,e,BR636,i,3.0530003e-07
5113,BR,e,BR636,y,0.9980311
1113,BR,e,BR636,e,8.298915e-07
11113,BR,e,BR636,ɛ,6.132115e-06
12113,BR,e,BR636,ɛ̃,3.0530003e-07
6113,BR,e,BR636,ø,1.6668817e-05
7113,BR,e,BR636,œ,0.00091008656
113,BR,e,BR636,a,0.00012316681
8113,BR,e,BR636,ɑ̃,3.0530003e-07
3113,BR,e,BR636,o,3.0530003e-07
9113,BR,e,BR636,ɔ,3.0530003e-07
10113,BR,e,BR636,ɔ̃,0.00091008656
4113,BR,e,BR636,u,3.0530003e-07
2114,BR,e,BR637,i,1.2024978e-05
5114,BR,e,BR637,y,0.26486778
1114,BR,e,BR637,e,3.268728e-05
11114,BR,e,BR637,ɛ,8.885324e-05
12114,BR,e,BR637,ɛ̃,4.423742e-06
6114,BR,e,BR637,ø,0.001784665
7114,BR,e,BR637,œ,1.2024978e-05
114,BR,e,BR637,a,4.423742e-06
8114,BR,e,BR637,ɑ̃,4.423742e-06
3114,BR,e,BR637,o,1.2024978e-05
9114,BR,e,BR637,ɔ,4.423742e-06
10114,BR,e,BR637,ɔ̃,0.71998525
4114,BR,e,BR637,u,0.01318699
2140,BR,e,BR751,i,0.37061188
5140,BR,e,BR751,y,0.37061188
1140,BR,e,BR751,e,0.1363405
11140,BR,e,BR751,ɛ,0.018451678
12140,BR,e,BR751,ɛ̃,0.05015686
6140,BR,e,BR751,ø,0.0003379543
7140,BR,e,BR751,œ,0.05015686
140,BR,e,BR751,a,0.00012432643
8140,BR,e,BR751,ɑ̃,0.0024971631
3140,BR,e,BR751,o,0.00012432643
9140,BR,e,BR751,ɔ,0.00012432643
10140,BR,e,BR751,ɔ̃,0.0003379543
4140,BR,e,BR751,u,0.00012432643
2149,BR,e,BR81,i,0.04648074
5149,BR,e,BR81,y,0.0023141399
1149,BR,e,BR81,e,0.01709931
11149,BR,e,BR81,ɛ,1.5592552e-05
12149,BR,e,BR81,ɛ̃,5.7361794e-06
6149,BR,e,BR81,ø,0.000115214236
7149,BR,e,BR81,œ,5.7361794e-06
149,BR,e,BR81,a,5.7361794e-06
8149,BR,e,BR81,ɑ̃,5.7361794e-06
3149,BR,e,BR81,o,4.2384952e-05
9149,BR,e,BR81,ɔ,5.7361794e-06
10149,BR,e,BR81,ɔ̃,0.93359065
4149,BR,e,BR81,u,0.00031318478
2151,BR,e,BR815,i,0.00033272605
5151,BR,e,BR815,y,2.2418906e-06
1151,BR,e,BR815,e,0.0066829813
11151,BR,e,BR815,ɛ,0.9918424
12151,BR,e,BR815,ɛ̃,0.00012240307
6151,BR,e,BR815,ø,6.09409e-06
7151,BR,e,BR815,œ,0.0009044432
