,probabilities,classification,language,vowel,file
8251,0.922923743724823,i,BR,i,BR132
8257,0.02137291617691517,ɪ,BR,i,BR132
8250,0.04800083860754967,eɪ,BR,i,BR132
8256,0.00039650980033911765,ɛ,BR,i,BR132
8254,3.8499532820424065e-05,æ,BR,i,BR132
8255,1.56652313307859e-05,ɑ,BR,i,BR132
8259,0.000504208030179143,ʌ,BR,i,BR132
8252,4.488068225327879e-05,oʊ,BR,i,BR132
8253,0.006074470467865467,u,BR,i,BR132
8258,0.0006282177055254579,ʊ,BR,i,BR132
7411,0.06577682495117188,i,BR,i,BR329
7417,0.05724519118666649,ɪ,BR,i,BR329
7410,0.5716521739959717,eɪ,BR,i,BR329
7416,0.08979150652885437,ɛ,BR,i,BR329
7414,0.048589952290058136,æ,BR,i,BR329
7415,0.010814648121595383,ɑ,BR,i,BR329
7419,0.04406421631574631,ʌ,BR,i,BR329
7412,0.05535350739955902,oʊ,BR,i,BR329
7413,0.02773449942469597,u,BR,i,BR329
7418,0.028977463021874428,ʊ,BR,i,BR329
8511,0.7127807140350342,i,BR,i,BR373
8517,0.0314701572060585,ɪ,BR,i,BR373
8510,0.2033090591430664,eɪ,BR,i,BR373
8516,0.01163262315094471,ɛ,BR,i,BR373
8514,0.011056615971028805,æ,BR,i,BR373
8515,0.001283522229641676,ɑ,BR,i,BR373
8519,0.009690322913229465,ʌ,BR,i,BR373
8512,0.006109593436121941,oʊ,BR,i,BR373
8513,0.0036147241480648518,u,BR,i,BR373
8518,0.00905251782387495,ʊ,BR,i,BR373
7631,0.4710519015789032,i,BR,i,BR374
7637,0.1188596561551094,ɪ,BR,i,BR374
7630,0.16364404559135437,eɪ,BR,i,BR374
7636,0.025970321148633957,ɛ,BR,i,BR374
7634,0.03005559928715229,æ,BR,i,BR374
7635,0.0032912110909819603,ɑ,BR,i,BR374
7639,0.02602369524538517,ʌ,BR,i,BR374
7632,0.007670184597373009,oʊ,BR,i,BR374
7633,0.05485052615404129,u,BR,i,BR374
7638,0.09858285635709763,ʊ,BR,i,BR374
7761,0.15528003871440887,i,BR,i,BR375
7767,0.027711374685168266,ɪ,BR,i,BR375
7760,0.2728238105773926,eɪ,BR,i,BR375
7766,0.12198211997747421,ɛ,BR,i,BR375
7764,0.1690223664045334,æ,BR,i,BR375
7765,0.02066962793469429,ɑ,BR,i,BR375
7769,0.2097816914319992,ʌ,BR,i,BR375
7762,0.009381905198097229,oʊ,BR,i,BR375
7763,0.0009929472580552101,u,BR,i,BR375
7768,0.012354088947176933,ʊ,BR,i,BR375
7491,0.7731591463088989,i,BR,i,BR452
7497,0.015071357600390911,ɪ,BR,i,BR452
7490,0.14413772523403168,eɪ,BR,i,BR452
7496,0.0009987555677071214,ɛ,BR,i,BR452
7494,0.00014891891623847187,æ,BR,i,BR452
7495,1.3688504623132758e-05,ɑ,BR,i,BR452
7499,0.0001298628922086209,ʌ,BR,i,BR452
7492,0.0016463218489661813,oʊ,BR,i,BR452
7493,0.06199561432003975,u,BR,i,BR452
7498,0.0026985902804881334,ʊ,BR,i,BR452
7171,0.8842376470565796,i,BR,i,BR454
7177,0.061299312859773636,ɪ,BR,i,BR454
7170,0.02591957151889801,eɪ,BR,i,BR454
7176,0.0007434719591401517,ɛ,BR,i,BR454
7174,0.00014858070062473416,æ,BR,i,BR454
7175,7.279007695615292e-05,ɑ,BR,i,BR454
7179,0.0010015248553827405,ʌ,BR,i,BR454
7172,0.0005194477853365242,oʊ,BR,i,BR454
7173,0.022232549265027046,u,BR,i,BR454
7178,0.003825051710009575,ʊ,BR,i,BR454
7791,0.7009047269821167,i,BR,i,BR46
7797,0.16002368927001953,ɪ,BR,i,BR46
7790,0.023487791419029236,eɪ,BR,i,BR46
7796,0.06310669332742691,ɛ,BR,i,BR46
7794,0.003162503009662032,æ,BR,i,BR46
7795,0.0001943134266184643,ɑ,BR,i,BR46
7799,0.022985419258475304,ʌ,BR,i,BR46
7792,2.542341098887846e-05,oʊ,BR,i,BR46
7793,0.024638280272483826,u,BR,i,BR46
7798,0.0014711690600961447,ʊ,BR,i,BR46
7901,0.8949869275093079,i,BR,i,BR47
7907,0.025944877415895462,ɪ,BR,i,BR47
7900,0.07310426235198975,eɪ,BR,i,BR47
7906,0.0012331263860687613,ɛ,BR,i,BR47
7904,0.0005413488252088428,æ,BR,i,BR47
7905,8.486496517434716e-05,ɑ,BR,i,BR47
7909,0.0008900623070076108,ʌ,BR,i,BR47
7902,6.321393448160961e-05,oʊ,BR,i,BR47
7903,0.0026906549464911222,u,BR,i,BR47
7908,0.00046075621503405273,ʊ,BR,i,BR47
7301,0.8887582421302795,i,BR,i,BR496
7307,0.050380412489175797,ɪ,BR,i,BR496
7300,0.006530015729367733,eɪ,BR,i,BR496
7306,0.006415239069610834,ɛ,BR,i,BR496
7304,0.00038311269599944353,æ,BR,i,BR496
7305,7.054262823658064e-05,ɑ,BR,i,BR496
7309,0.0064923702739179134,ʌ,BR,i,BR496
7302,0.00020423285604920238,oʊ,BR,i,BR496
7303,0.0333893708884716,u,BR,i,BR496
7308,0.007376377936452627,ʊ,BR,i,BR496
7571,0.7023144960403442,i,BR,i,BR741
7577,0.08898676186800003,ɪ,BR,i,BR741
7570,0.0917029157280922,eɪ,BR,i,BR741
7576,0.05080061033368111,ɛ,BR,i,BR741
7574,0.007786095142364502,æ,BR,i,BR741
7575,0.0014174880925565958,ɑ,BR,i,BR741
7579,0.01820346899330616,ʌ,BR,i,BR741
7572,0.0026277494616806507,oʊ,BR,i,BR741
7573,0.027323732152581215,u,BR,i,BR741
7578,0.008836738765239716,ʊ,BR,i,BR741
8321,0.7891924977302551,i,BR,i,BR742
8327,0.11080065369606018,ɪ,BR,i,BR742
8320,0.038190171122550964,eɪ,BR,i,BR742
8326,0.012453622184693813,ɛ,BR,i,BR742
8324,0.0013665215810760856,æ,BR,i,BR742
8325,0.00014332369028124958,ɑ,BR,i,BR742
8329,0.003364999545738101,ʌ,BR,i,BR742
8322,0.0037838504649698734,oʊ,BR,i,BR742
8323,0.030015720054507256,u,BR,i,BR742
8328,0.010688602924346924,ʊ,BR,i,BR742
7811,0.4838290214538574,i,BR,i,BR757
7817,0.11417937278747559,ɪ,BR,i,BR757
7810,0.26668304204940796,eɪ,BR,i,BR757
7816,0.0469275563955307,ɛ,BR,i,BR757
7814,0.009653378278017044,æ,BR,i,BR757
7815,0.0013501994544640183,ɑ,BR,i,BR757
7819,0.04137899726629257,ʌ,BR,i,BR757
